>752:652,,,
2100,220022012202220322042205220622082209220A,raw,220022012202220322042205220622082209220A,Gauging group data list
2101,022C015E003C0A0201808200,raw,022C015E003C0A0201808200,Gauging group data values
2102,228022812282228322842289,raw,228022812282228322842289,Maintenance group data list
2103,020C64000600,raw,020C64000600,Maintenance group data values
2104,Timeout,string,---,Secured configuration settings group data list
2105,Timeout,string,---,Secured configuration settings data values
2106,Unkown Error,string,22210623542357236123642365236623682369236C236D236E23702371237223732375237623782379237A237B237C237D237F23802381238723882389238B238C238D238F2392239423952399239B239C239D239E23A023A223A323A623A923AB23AE23B123B223B423B523B623B7242A23BB23BF23C023C223C723C823CC23CD23CE23D023D123D223D323D523D823DB23DC23E223E323E423E523E623E823E923EA23EC23EE23F623F923FC23FD23FE2409240D240E240F241424152418242424252427243124322437243A244C244D24512452245324552456245C2468246C247,Secured configuration settings group data list 2
2200,02,hex,Type 2,Fuel level measurement algorithm
2201,2C,int,2C,Tank capacity in liters
2202,015E,int,015E,The resistance of the fuel level sensor with an empty tank
2203,003C,int,003C,The resistance of the fuel level sensor with a full tank
2204,0A,int,0A,Valeur de résistance jaughege définie pour le réservoir play
2205,02,hex,Type 2,Selecting the mode of monitoring the level of motor oil
2206,01,hex,Engine control computer,Source of oil level
2207,No Response,string,---,Source of oil pressure information
2208,01,hex,Engine control computer,Source of oil temperature
2209,01,hex,Analog sensor,The presence and type of oil pressure sensor
220A,04,int,04,Critical fuel level
2288,No Response,string,---,Threshold Average life
2300,13,hex,Reversing camera + parking sensors front and rear,The presence of assistance systems for parking / controlling blind areas / control of the strip
2301,00,bool,00,The presence of a trailer switching unit (TSB)
2302,00,bool,00,The sound signal of the Assistance System for Parking is supplied with a steering wheel switch
2303,01,bool,01,Parking system with visual alarm
2304,01,bool,01,The presence of a passenger airbag
2305,00,hex,Security alarm installed at the factory,Type of installation of security alarms
2306,01,hex,Inactive,Security alarm volume control system
2307,00,hex,Absent,The presence and number of hatches in the roof
2308,00,bool,00,Right car the steering wheel
2309,00,hex,Absent,Type of security alarm
230A,00,hex,Mechanical key,Key type
230B,05,int,05,The number of warning signs that seat belts are not fastened
230C,01,bool,01,Front passenger presence sensor
230D,01,bool,01,The presence of a seat belt warning bar in the LIN network
230E,No Response,string,---,Detection of an fixed seat belt of the driver (No Checkmark = yes)
230F,00,bool,00,Detection of an fixed seat belt of the front passenger (No Checkmark = yes)
2310,00,bool,00,Detection of an fixed passenger seat belt of the central rear seat (No Checkmark = yes)
2311,00,bool,00,Detection of an fixed passenger seat belt of the right rear seat (No Checkmark = yes)
2312,00,bool,00,Detection of an fixed passenger seat belt of the left rear seat (No Checkmark = yes)
2313,No Response,string,---,Detection of an fixed seat belt of the third row of seats (No Checkmark = yes)
2314,00,bool,00,Option: Multifunctional display
2315,No Response,string,---,The presence of a matrix display
2316,No Response,string,---,Stop and Start function
2317,00,bool,00,Display of information on fuel consumption without taking into account excess consumption due to regeneration of the particulate filter
2318,01,hex,-25 - +37,Climate type
2319,No Response,string,---,The presence of seats with heating
231A,00,hex,Manual,Type of gearbox
231B,00,hex,Mechanical key,Type of launch
231C,00,hex,Petrol engine,Type of combustion engine
231D,02,hex,Indirect using the ABS/ESP unit,Tire pressure control type
231E,No Response,string,---,Light sensor
231F,No Response,string,---,The presence of a lighting control knob with 4 positions
2320,No Response,string,---,Option: Track lighting
2321,00,bool,00,Option: Training car
2322,No Response,string,---,Type of individual settings menu
2323,01,bool,01,The presence of front fog lights
2324,No Response,string,---,Type of cornering lighting
2325,10,hex,LED lamp,Type of head lighting
2326,01,bool,01,The presence of a feature of high-beam switching function
2327,01,bool,01,The presence of the interior lighting and entry into the car function
2328,No Response,string,---,Rain sensor
2329,00,bool,00,The presence of headlight washers
232A,04,hex,Separate day lighting,Type of daylight
232B,No Response,string,---,Simultaneous activation of daytime running lights and side lights
232C,No Response,string,---,Lighting on the default daylight
232D,04,hex,Soot filter without adding additives,The presence and type of additive in diesel fuel
232E,No Response,string,---,The presence of a special high-frequency receiver (Japan)
232F,00,bool,00,Passenger door lock
2330,01,bool,01,Option: Closing windows using a remote control and key
2331,No Response,string,---,Type of additional heating system
2332,No Response,string,---,Generator type
2333,02,hex,60 ah,Type of battery
2334,01,hex,Yes performed by the battery charge level control unit,Battery charge assessment function
2338,No Response,string,---,Air mixing type
2339,No Response,string,---,Option: Module for memorizing the position of the passenger seat
233A,00,bool,00,Audio system amplifier
233B,No Response,string,---,The presence of a block of the corrector of the height of the rear part (pneumatic suspension)
233C,No Response,string,---,The presence of air conditioning
233D,No Response,string,---,The presence of an auxiliary electric brake
233E,No Response,string,---,Option: remembering driver's seat adjustments
233F,No Response,string,---,The presence of a programmable cruise control system
2340,No Response,string,---,Option: a warning system for unintentional intersection of road marking lines
2341,00,bool,00,The presence of a system display system in the field of view of the driver
2342,No Response,string,---,The presence of a telematics block
2343,01,bool,01,The presence of parking lights (lateral designation of dimensions)
2344,01,bool,01,Dynamic stabilization system (ESP)
2345,01,bool,01,The presence of an outdoor temperature sensor
2346,00,bool,00,Diesel-fuel water sensor
2347,14,int,14,"Correction of the difference between the speed set for cruise control, and speed by speedometer in km/h (multiply the value by 10)"
2348,03,hex,Cruise control and speed limiter,The presence and type of regulator/speed limiter
2349,00,bool,00,Warning about speeding for countries of the Arabian Peninsula
234A,01,bool,01,Multiplex front windows
234B,01,bool,01,The presence of four power windows with anti-pinch function or two front windows with anti-pinch function (if the rear windows are not electric)
234C,No Response,string,---,The presence of the driver's meeting
234D,01,bool,01,"External mirrors with electric and folding, controlled by an intellectual switching unit (BSI)"
234E,00,bool,00,The presence of an massage option
234F,No Response,string,---,"Automatic backlighting of the dashboard and multifunctional display, depending on the brightness of the outdoor lighting"
2350,810D,hex,Berlines 5 Porte,Type of car
2351,01,hex,Mechanical system of protecting children with information about the state of locks,Availability and type of function of the children's protection system
2352,01,hex,Simple blocking,Type of locking
2353,01,hex,Choosing unlocking the driver's door,Type of locking/unlocking door locks
2354,00,hex,Opening or unlocking trunk/5th door,The function of the third button of the high-frequency remote control
2357,01,hex,Long-term pressing,Type of pressing the third remote control button
2360,No Response,string,---,The presence of an additional head lighting function using fog lights
2361,00,bool,00,The presence of the function of turning on ventilation from the remote control
2362,No Response,string,---,Front headlights with daytime running lights
2364,01,bool,01,The presence of power steering
2365,00,bool,00,Activating THATCHAM mode
2366,00,bool,00,The presence of a service module (MDS) or autonomous telematics unit (BTA)
2367,No Response,string,---,The presence of rear fog lights
2368,01,bool,01,The presence of the rear left fog light
2369,00,bool,00,The presence of the rear right fog light
236A,No Response,string,---,The presence of left reversing light
236B,No Response,string,---,The presence of right reversing light
236C,01,bool,01,The presence of a multifunctional camera (CMF)
236D,01,bool,01,The presence of rain / light lighting sensor on the LIN network
236E,01,bool,01,The presence of outer side backlight
236F,No Response,string,---,the presence of a computer switch
2370,01,bool,01,The presence of an indicator of the recommended transmission (gearbox)
2371,00,bool,00,The presence of a driver's seat with an electrical control included in the intellectual switching unit (BSI)
2372,00,bool,00,The presence of a passenger seat with an electrical control included in the intellectual switching unit (BSI)
2373,08,hex,Blind Spot Monitoring with Parking Assist Computer,Availability and type of driving assistance system (AFIL / SAM)
2375,01,bool,01,Preservation of braking (system of dynamic stabilization) for 2 seconds at the beginning of movement on the slope
2376,00,hex,Absent,The presence and type of sensor of the supplied air
2378,02,hex,Sunlight single-zone sensor,Sunlight sensor type
2379,00,bool,00,The presence of a pollution sensor
237A,0A,int,0A,The threshold value of the speed for automatic blocking in movement in km/h
237B,01,hex,Front sensor,The position of the temperature sensors of the evaporator
237C,01,hex,Pressure sensor 35 bar,Type of pressure sensor of the air conditioning system
237D,02,hex,"Compressor with an external control system, without a coupling",Type of air conditioning compressor
237E,No Response,string,---,the presence of heated seats or heated ventilated seats
237F,01,hex,Activated depending on the percentage of the closure,Air supply type
2380,01,hex,Single-zone,Air mixing type (front air conditioner)
2381,01,hex,Single-zone,Air distribution system type
2382,No Response,string,---,Rear interior fan type
2383,No Response,string,---,Air mixing type (rear air conditioner)
2384,No Response,string,---,Distribution type: rear
2385,No Response,string,---,"The presence of the ""Stop and Start"" engine or hybrid power unit"
2386,No Response,string,---,Using the heat of the exhaust gases to heating the interior
2387,02,hex,Double-zone,Type of air conditioning
2388,01,hex,Air conditioning is turned on when the ignition is turned on,The presence of a heater or air conditioner with a non-working engine
2389,85,int,85,Information about the inclusion of air conditioning compressor
238A,No Response,string,---,The presence of a coolant pump with a drive clutch
238B,01,bool,01,The presence of an algorithm for combustion of the fuel mixture with a cold engine to accelerate the heating of the car interior
238C,00,hex,Absent,The presence and type of preliminary thermal training
238D,00,bool,00,Athermic windshield
238E,No Response,string,---,Option: Natural gas (GNV)
238F,00,hex,With the inclusion of rotation indicators,"Configuration ""Police""?"
2390,No Response,string,---,The presence of a handle with the switching button for the automatic wiper mode
2391,No Response,string,---,Availability of rear multimedia equipment
2392,01,hex,Front multiplex panel (electric),Availability and type of multiplex control panel
2394,00,hex,Without a car radio,Type of radio receiver
2395,20,hex,NAC/RCC,Type of telematics block
2396,No Response,string,---,Option: multiplex anti-lock system (ABS)
2399,00,bool,00,External mirrors with electric drive and streaming of position
239A,No Response,string,---,The presence of hours
239B,01,bool,01,Option: on-board computer (ODB)
239C,00,bool,00,Option: Black Panel mode
239D,00,hex,Absent,The presence and type of heating resistances
239E,00,hex,Absent,The presence and type of air heater
239F,No Response,string,---,The presence and type of adjustment of the brightness of the interior backlight
23A0,00,hex,Absent,The presence and number of hatches
23A1,No Response,string,---,engine's type
23A2,00,hex,Standard,"Thermal comfort for the ""Stop and Start"" system"
23A3,00,hex,Absent,The presence and type of parking brake with electrical control
23A4,No Response,string,---,The presence of a trunk door with an electric drive
23A5,No Response,string,---,Selecting vehicle speed limit or cruise control
23A6,01,hex,Discovery,Type of electoral opening of the rear door using a high-frequency remote control
23A7,No Response,string,---,The presence of a curtain with an electric drive
23A8,No Response,string,---,Rear seats with electric drive
23A9,00,hex,There is no electrical security system for children,The presence and type of the children's safety system switch
23AA,No Response,string,---,The presence of a 230V socket
23AB,00,bool,00,Sound signal supplied by a steering wheel switch of type 2008
23AC,No Response,string,---,Power type of anti-lock braking system (ABS) or dynamic stabilization system (ESP)
23AD,No Response,string,---,The type of equipment connected to the relay of the electro-focus of the intelligent switching unit (BSI)
23AE,00,bool,00,The presence of an additional head lighting function
23AF,No Response,string,---,Type of control of front fog lights
23B0,No Response,string,---,The presence of a function of headlights headlights in the personal settings menu
23B1,01,hex,It is taken into account,Accounting for Stop and Start function of air conditioning
23B2,01,bool,01,Air supply module in the motor compartment controlled by an intelligent switching unit (BSI)
23B3,No Response,string,---,The presence of a parking brake menu with an electrical control in the personal settings menu
23B4,00,bool,00,Having a sound selection menu
23B5,00,bool,00,The presence of a sun-roof without a curtain with an electric drive
23B6,00,bool,00,the presence of an ultrasound module included in the LIN network of an intellectual switching unit
23B7,00,bool,00,The presence of a security alarm siren associated with the BSI LIN network
23B8,No Response,string,---,The presence of a block for re-equipment (auto-school and management for disabled people)
23B9,No Response,string,---,The presence of a warning function about the risk of a collision
23BA,No Response,string,---,The presence of a rotation angle sensor of the steering wheel multiplex
23BB,02,hex,"Type ""Phase 2"" with a starter","Availability and type of function ""Stop and Start"""
23BC,No Response,string,---,The availability of a system for compliance with a safe distance
