2100,0020,Telecoding_Fct_AAS
2101,00,Telecoding_Fct_AFIL
2103,0000,Telecoding_Fct_ARTIV
2104,64FA1580,Telecoding_Fct_AUDIO
2105,0000,Telecoding_Fct_AVP
2106,00,Telecoding_Fct_AVR
2107,C0,Telecoding_Fct_BT
2108,820094508056E60000,Telecoding_Fct_BTEL
2109,82,Telecoding_Fct_CAFR
2110,Error: (22) Request Out Of Range,Telecoding_Fct_SCREEN2
2112,B2,Telecoding_Fct_HDC
2113,280005121F2C3946535F64,Telecoding_Fct_HY
2114,0000,Telecoding_Fct_INTERNET
2115,00,Telecoding_Fct_MPD
2116,0032000000,Telecoding_Fct_NAV
2117,14000070,Telecoding_Fct_RADIO
2118,5FC0,Telecoding_Fct_RADIO_NUM
2119,00,Telecoding_Fct_SAM
2120,00,Telecoding_Fct_LKA
2121,00,Telecoding_Fct_ACV
2123,00,Telecoding_Fct_ALERTS
2124,80,Telecoding_Fct_LUM
2125,0050505300,Telecoding_Fct_OBC
2126,00,Telecoding_Fct_CPUSH
2127,070CC400000000000007090000001E0A0F030000000000000709000006000000000000141822161C00000000,Telecoding_Fct_HMI
2128,40,Telecoding_Fct_SPY
2129,8000,Telecoding_Fct_LVDS
2130,Error: (22) Request Out Of Range,Telecoding_Fct_BTA
2131,80,Telecoding_Fct_ANDROID
2132,00,Telecoding_Fct_IDVR_HMI/ATB
2133,0C0100000C04,Telecoding_Fct_WAVE3
2134,0000,Telecoding_Fct_ELECTRIC
2145,Error: (22) Request Out Of Range,Telecoding_Fct_AIO
0106,4F50454C20434F5253410000000000000000000000000000000000000000,Telecoding_Fct_BluetoothName
F190,56584B5550484E4B4B4C34343432353738,VIN
F18C,3244303735303339303032383731373337303137,Serial Number
210B,80,Telecoding_Fct_CHECK
210A,00,Telecoding_Fct_CD_CHARGER
210C,0010,Telecoding_Fct_CITYPARK
210D,00278000,Telecoding_Fct_CLIM
210E,80,Telecoding_Fct_DSG
210F,18,Telecoding_Fct_SCREEN
211A,80,Telecoding_Fct_STT
211B,68B428B41EB42800,Telecoding_Fct_XVV
211C,00,Telecoding_Fct_WIFI
211F,0E,Telecoding_Fct_LANG
211D,01,Telecoding_Fct_ASR
212C,20,Telecoding_Fct_ION
212D,00,Telecoding_Fct_PPS
212E,00,Telecoding_Fct_IDVR
212F,20,Telecoding_Fct_AUDIO2
212A,0F790BB801B907080188070802A9021D06020181080402080834800101D00001CE0064A06E0102787D,Telecoding_Fct_VISIOPARK
2901,FD000000010101,Secure Traceability Value
F080,9812275180000398335000800431FFFF04010000043402,ZA Zone
F0FE,FFFF000003F5FFFFFF4C18FF04040B140002000001944028,ZI Zone
F18B,1E0A14,Production Date
